Test: static shards ...
007064 CLRK C33 | PutAppend | Request key:0, value:VAuklCRtuMeqd-jFU7OC, op:Put, opNum: 1, shard:8
012176 KAPC KV100-1 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
012177 KCFG KV100-1 | Config | Updated config from {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} to {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012278 KAPL KV100-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
012280 KAPC KV100-0 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
012470 KCFG KV100-1 | Config | Config Outdated. Previous config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, Current config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, prevConfigNum: 1, currConfigNum: 2
012472 KCFG KV100-1 | Config | Receieved raft start() result, index: 2
012472 KCFG KV100-1 | Config | Waiting for raft apply result from resultCh: 0xc00026e900
012481 KAPL KV100-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012482 KAPC KV100-1 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012483 KCFG KV100-1 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012483 KCFG KV100-1 | Config | Updated config from {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} to {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012576 KP&A KV100-1 | PutAppend | Receieved start result from raft leader, index: 3
012588 KAPL KV100-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012588 KAPC KV100-2 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012588 KCFG KV100-2 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012588 KAPL KV100-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012589 KAPC KV100-0 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012589 KCFG KV100-0 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012688 KAPL KV100-2 | applier | Received message from applyCh: { OpType: Put, Key: 0, Value: VAuklCRtuMeqd-jFU7OC, OpNum: 1, Client: 1919568453260478433 }
012689 KAPA KV100-2 | Apply Put/Append | key: 0, value: VAuklCRtuMeqd-jFU7OC dataDict: map[0:VAuklCRtuMeqd-jFU7OC]
012690 KAPL KV100-0 | applier | Received message from applyCh: { OpType: Put, Key: 0, Value: VAuklCRtuMeqd-jFU7OC, OpNum: 1, Client: 1919568453260478433 }
012690 KAPA KV100-0 | Apply Put/Append | key: 0, value: VAuklCRtuMeqd-jFU7OC dataDict: map[0:VAuklCRtuMeqd-jFU7OC]
012697 KAPL KV100-1 | applier | Received message from applyCh: { OpType: Put, Key: 0, Value: VAuklCRtuMeqd-jFU7OC, OpNum: 1, Client: 1919568453260478433 }
012697 KAPA KV100-1 | Apply Put/Append | key: 0, value: VAuklCRtuMeqd-jFU7OC dataDict: map[0:VAuklCRtuMeqd-jFU7OC]
012703 KP&A KV100-1 | PutAppend | Sending result to Clerk, key: 0, shard data: map[0:VAuklCRtuMeqd-jFU7OC], Err: OK, index: 3
012704 CLRK C33 | PutAppend | Received reply from 100-1: op: Put, key:0, value:VAuklCRtuMeqd-jFU7OC, opNum: 1, shard: 8
012705 CLRK C33 | PutAppend | Request key:1, value:3ESZOHV2wxpWAh4d4zfP, op:Put, opNum: 2, shard:9
012709 KP&A KV100-1 | PutAppend | Receieved start result from raft leader, index: 4
012798 KAPL KV100-1 | applier | Received message from applyCh: { OpType: Put, Key: 1, Value: 3ESZOHV2wxpWAh4d4zfP, OpNum: 2, Client: 1919568453260478433 }
012800 KAPA KV100-1 | Apply Put/Append | key: 1, value: 3ESZOHV2wxpWAh4d4zfP dataDict: map[1:3ESZOHV2wxpWAh4d4zfP]
012801 KP&A KV100-1 | PutAppend | Sending result to Clerk, key: 1, shard data: map[1:3ESZOHV2wxpWAh4d4zfP], Err: OK, index: 4
012802 CLRK C33 | PutAppend | Received reply from 100-1: op: Put, key:1, value:3ESZOHV2wxpWAh4d4zfP, opNum: 2, shard: 9
012803 CLRK C33 | PutAppend | Request key:2, value:kWS1DgLmfZs-kUNAV9zM, op:Put, opNum: 3, shard:0
012804 KP&A KV101-0 | PutAppend | Replying ErrWrongGroup, args: {Key:2 Value:kWS1DgLmfZs-kUNAV9zM Op:Put Client:1919568453260478433 OpNum:3}, shard: 0
013192 KAPL KV100-2 | applier | Received message from applyCh: { OpType: Put, Key: 1, Value: 3ESZOHV2wxpWAh4d4zfP, OpNum: 2, Client: 1919568453260478433 }
013194 KAPA KV100-2 | Apply Put/Append | key: 1, value: 3ESZOHV2wxpWAh4d4zfP dataDict: map[1:3ESZOHV2wxpWAh4d4zfP]
013192 KAPL KV100-0 | applier | Received message from applyCh: { OpType: Put, Key: 1, Value: 3ESZOHV2wxpWAh4d4zfP, OpNum: 2, Client: 1919568453260478433 }
013194 KAPA KV100-0 | Apply Put/Append | key: 1, value: 3ESZOHV2wxpWAh4d4zfP dataDict: map[1:3ESZOHV2wxpWAh4d4zfP]
013924 KP&A KV101-0 | PutAppend | Replying ErrWrongGroup, args: {Key:2 Value:kWS1DgLmfZs-kUNAV9zM Op:Put Client:1919568453260478433 OpNum:3}, shard: 0
015015 KP&A KV101-0 | PutAppend | Replying ErrWrongGroup, args: {Key:2 Value:kWS1DgLmfZs-kUNAV9zM Op:Put Client:1919568453260478433 OpNum:3}, shard: 0
016082 KP&A KV101-0 | PutAppend | Replying ErrWrongGroup, args: {Key:2 Value:kWS1DgLmfZs-kUNAV9zM Op:Put Client:1919568453260478433 OpNum:3}, shard: 0
017067 KSND KV101-1 | RequestShard | Requesting Shard: 4, from: 100
017067 KSND KV101-1 | RequestShard | Requesting Shard: 1, from: 100
017069 KSND KV101-1 | RequestShard | Sending request for shard: 4 to 100-server-100-0
017067 KSND KV101-1 | RequestShard | Requesting Shard: 0, from: 100
017070 KSND KV101-1 | RequestShard | Sending request for shard: 0 to 100-server-100-0
017068 KSND KV101-1 | RequestShard | Requesting Shard: 2, from: 100
017069 KSND KV101-1 | RequestShard | Sending request for shard: 1 to 100-server-100-0
017070 KSND KV101-1 | RequestShard | Sending request for shard: 2 to 100-server-100-0
017068 KSND KV101-1 | RequestShard | Requesting Shard: 3, from: 100
017071 KSND KV101-1 | RequestShard | Sending request for shard: 3 to 100-server-100-0
017074 KSND KV101-1 | RequestShard | Sending request for shard: 3 to 100-server-100-1
017075 KSND KV101-1 | RequestShard | Sending request for shard: 4 to 100-server-100-1
017075 KSND KV100-1 | RequestShard | Sending Shard: 3, request's ConfigNum: 2
017076 KSND KV100-1 | RequestShard | Sending Shard: 4, request's ConfigNum: 2
017076 KSND KV101-1 | RequestShard | Received Shard: 3, from: 100
017076 KUPD KV101-1 | UpdateShard | Shard: 3, from: 3
017077 KSND KV101-1 | RequestShard | Received Shard: 4, from: 100
017077 KUPD KV101-1 | UpdateShard | Shard: 4, from: 4
017078 KUPD KV101-1 | UpdateShard | Receieved start result from raft, index: 3
017079 KSND KV101-1 | RequestShard | Sending request for shard: 0 to 100-server-100-1
017080 KSND KV100-1 | RequestShard | Sending Shard: 0, request's ConfigNum: 2
017081 KSND KV101-1 | RequestShard | Received Shard: 0, from: 100
017081 KUPD KV101-1 | UpdateShard | Shard: 0, from: 0
017082 KUPD KV101-1 | UpdateShard | Receieved start result from raft, index: 4
017082 KUPD KV101-1 | UpdateShard | Receieved start result from raft, index: 5
017094 KSND KV101-1 | RequestShard | Sending request for shard: 1 to 100-server-100-1
017096 KSND KV100-1 | RequestShard | Sending Shard: 1, request's ConfigNum: 2
017097 KSND KV101-1 | RequestShard | Received Shard: 1, from: 100
017097 KUPD KV101-1 | UpdateShard | Shard: 1, from: 1
017097 KUPD KV101-1 | UpdateShard | Receieved start result from raft, index: 6
017105 KSND KV101-1 | RequestShard | Sending request for shard: 2 to 100-server-100-1
017106 KSND KV100-1 | RequestShard | Sending Shard: 2, request's ConfigNum: 2
017107 KSND KV101-1 | RequestShard | Received Shard: 2, from: 100
017108 KUPD KV101-1 | UpdateShard | Shard: 2, from: 2
017109 KUPD KV101-1 | UpdateShard | Receieved start result from raft, index: 7
017123 KAPL KV101-2 | applier | Received message from applyCh: { OpType: UpdateShard, Shard: 3, Config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} }
017124 KAPL KV101-0 | applier | Received message from applyCh: { OpType: UpdateShard, Shard: 3, Config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} }
017124 KAUP KV101-0 | Apply UpdateShard | ShardNum: 3, ShardState: {DataDict:map[] LastCommand:map[]}
017124 KP&A KV101-0 | PutAppend | Replying ErrWrongGroup, args: {Key:2 Value:kWS1DgLmfZs-kUNAV9zM Op:Put Client:1919568453260478433 OpNum:3}, shard: 0
017124 KAUP KV101-2 | Apply UpdateShard | ShardNum: 3, ShardState: {DataDict:map[] LastCommand:map[]}
017123 KAPL KV101-1 | applier | Received message from applyCh: { OpType: UpdateShard, Shard: 3, Config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} }
